order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
18,16,prior,2,1,13,20
18,16,prior,3,1,20,21
18,16,prior,4,6,14,12
18,16,prior,5,2,14,30
18,16,prior,6,0,14,26
18,16,test,7,0,13,7
18,17,prior,1,2,13,
18,17,prior,2,5,10,3
18,17,prior,3,3,10,5
18,17,prior,4,1,14,5
18,17,prior,5,6,17,5
18,17,prior,6,4,17,5
18,17,prior,7,1,13,4
18,17,prior,8,0,15,6
18,17,prior,9,3,13,3
18,17,prior,10,0,15,4
18,17,prior,11,4,15,4
18,17,prior,12,2,14,5
19,17,prior,13,1,13,6
19,17,prior,14,6,17,5
19,17,prior,15,2,16,3
20,17,prior,16,1,12,6
20,17,prior,17,5,21,4
20,17,prior,18,6,12,8
20,17,prior,19,5,11,6
20,17,prior,20,5,13,7
20,17,prior,21,2,12,4
20,17,prior,22,6,16,4
20,17,prior,23,3,23,4
21,17,prior,24,1,10,5
21,17,prior,25,0,11,6
21,17,prior,26,5,17,5
21,17,prior,27,4,10,6
21,17,prior,28,1,9,4
22,17,prior,29,6,14,5
22,17,prior,30,6,15,0
22,17,prior,31,4,12,5
22,17,prior,32,1,22,4
22,17,prior,33,3,11,9
22,17,prior,34,5,12,16
22,17,prior,35,6,13,8
22,17,prior,36,3,12,30
22,17,prior,37,2,12,13
22,17,prior,38,1,15,30
22,17,prior,39,5,16,11
22,17,prior,40,4,11,27
22,17,train,41,3,10,30
22,18,prior,1,6,18,
23,18,prior,2,0,17,1
23,18,prior,3,1,19,8
23,18,prior,4,0,16,6
23,18,prior,5,2,16,9
23,18,prior,6,6,12,4
23,18,train,7,6,9,7
23,19,prior,1,6,13,
23,19,prior,2,5,14,6
23,19,prior,3,0,14,16
23,19,prior,4,5,12,5
23,19,prior,5,6,12,8
23,19,prior,6,5,13,20
23,19,prior,7,4,17,6
23,19,prior,8,4,4,7
24,19,prior,9,5,16,8
24,19,test,10,6,17,8
24,20,prior,1,1,10,
25,20,prior,2,3,16,2
25,20,prior,3,2,11,6
25,20,prior,4,2,11,7
25,20,test,5,1,11,30
25,21,prior,1,1,10,
25,21,prior,2,1,9,7
25,21,prior,3,1,13,7
25,21,prior,4,1,14,14
25,21,prior,5,1,14,7
25,21,prior,6,5,6,4
25,21,prior,7,5,9,28
25,21,prior,8,2,13,18
25,21,prior,9,4,10,2
25,21,prior,10,3,10,6
26,21,prior,11,1,15,12
26,21,prior,12,1,9,21
26,21,prior,13,5,11,4
26,21,prior,14,1,9,10
26,21,prior,15,1,9,7
26,21,prior,16,1,11,7
26,21,prior,17,2,15,1
26,21,prior,18,2,11,21
27,21,prior,19,3,9,8
27,21,prior,20,1,10,12
27,21,prior,21,1,9,7
27,21,prior,22,3,9,9
27,21,prior,23,2,13,6
27,21,prior,24,5,8,3
27,21,prior,25,5,8,7
27,21,prior,26,1,11,10
27,21,prior,27,3,8,9
27,21,prior,28,1,9,5
27,21,prior,29,2,9,8
27,21,prior,30,1,11,6
27,21,prior,31,3,15,9
27,21,prior,32,1,13,12
27,21,prior,33,1,12,30
27,21,train,34,1,12,28
27,22,prior,1,3,7,
27,22,prior,2,3,7,30
27,22,prior,3,0,21,4
27,22,prior,4,3,11,30
27,22,prior,5,5,21,16
27,22,prior,6,1,19,17
27,22,prior,7,6,17,5
27,22,prior,8,5,9,13
27,22,prior,9,5,15,28
27,22,prior,10,3,19,5
27,22,prior,11,5,12,2
28,22,prior,12,0,8,2
28,22,prior,13,5,10,5
28,22,prior,14,1,19,3
28,22,prior,15,4,10,30
28,22,test,16,5,6,1
28,23,prior,1,5,14,
28,23,prior,2,0,10,9
28,23,prior,3,5,12,5
28,23,prior,4,3,11,30
28,23,train,5,1,12,30
28,24,prior,1,3,20,
28,24,prior,2,6,16,3
28,24,prior,3,3,21,30
28,24,prior,4,6,10,24
28,24,prior,5,0,11,30
28,24,prior,6,6,8,13
29,24,prior,7,0,8,15
29,24,prior,8,1,20,8
29,24,prior,9,1,8,30
29,24,prior,10,5,17,18
29,24,prior,11,4,14,6
30,24,prior,12,5,16,22
30,24,prior,13,2,11,11
30,24,prior,14,6,8,4
31,24,prior,15,0,10,15
31,24,prior,16,0,9,7
31,24,prior,17,0,20,14
31,24,prior,18,0,16,14
31,24,train,19,0,16,0
31,25,prior,1,1,14,
31,25,prior,2,1,20,30
31,25,prior,3,5,19,30
31,25,test,4,0,15,30
31,26,prior,1,2,15,
32,26,prior,2,5,11,10
32,26,prior,3,5,10,7
32,26,prior,4,4,20,6
32,26,prior,5,5,9,8
32,26,prior,6,2,15,11
32,26,prior,7,1,13,30
32,26,prior,8,3,11,30
32,26,prior,9,3,9,14
32,26,prior,10,3,14,7
33,26,prior,11,4,17,8
33,26,prior,12,4,17,7
33,26,test,13,5,14,8
33,27,prior,1,3,9,
33,27,prior,2,2,17,6
33,27,prior,3,3,8,1
33,27,prior,4,5,13,2
33,27,prior,5,2,15,4
33,27,prior,6,4,9,9
35,27,prior,7,2,14,5
35,27,prior,8,3,15,1
35,27,prior,9,4,13,1
35,27,prior,10,4,15,7
35,27,prior,11,5,11,1
37,27,prior,12,1,11,3
37,27,prior,13,2,17,1
37,27,prior,14,3,9,8
39,27,prior,15,1,14,5
39,27,prior,16,2,16,8
39,27,prior,17,2,9,7
39,27,prior,18,1,15,20
39,27,prior,19,3,9,9
40,27,prior,20,1,16,12
40,27,prior,21,2,11,8
40,27,prior,22,3,8,8
40,27,prior,23,2,13,6
41,27,prior,24,2,15,0
41,27,prior,25,5,10,10
42,27,prior,26,5,14,7
42,27,prior,27,1,15,17
42,27,prior,28,3,10,2
43,27,prior,29,3,14,0
43,27,prior,30,4,16,1
43,27,prior,31,2,14,5
43,27,prior,32,5,10,10
43,27,prior,33,4,15,6
43,27,prior,34,2,15,5
43,27,prior,35,3,16,1
44,27,prior,36,5,14,2
44,27,prior,37,1,10,3
44,27,prior,38,2,16,1
44,27,prior,39,1,14,6
44,27,prior,40,4,10,3
44,27,prior,41,5,10,1
44,27,prior,42,5,14,0
44,27,prior,43,5,15,0
44,27,prior,44,2,14,4
44,27,prior,45,4,9,2
45,27,prior,46,1,10,4
46,27,prior,47,2,14,1
46,27,prior,48,3,10,1
46,27,prior,49,3,14,0
46,27,prior,50,4,14,1
46,27,prior,51,2,9,5
46,27,prior,52,3,15,15
46,27,prior,53,2,9,6
46,27,prior,54,4,15,2
46,27,prior,55,2,16,5
46,27,prior,56,3,11,1
46,27,prior,57,4,13,1
46,27,prior,58,5,8,1
46,27,prior,59,3,9,5
46,27,prior,60,4,15,1
46,27,prior,61,1,13,4
46,27,prior,62,2,10,1
46,27,prior,63,3,10,1
46,27,prior,64,1,15,5
46,27,prior,65,4,10,3
46,27,prior,66,1,12,4
47,27,prior,67,5,10,4
47,27,prior,68,2,8,4
47,27,prior,69,2,14,0
47,27,prior,70,3,15,1
47,27,prior,71,1,13,5
48,27,prior,72,1,13,7
48,27,prior,73,5,14,4
48,27,prior,74,5,14,7
48,27,prior,75,1,11,10
48,27,prior,76,1,14,0
48,27,prior,77,1,8,7
48,27,prior,78,5,15,4
48,27,prior,79,3,11,5
49,27,prior,80,2,8,6
49,27,prior,81,1,13,6
49,27,train,82,5,14,4
49,28,prior,1,0,14,
50,28,prior,2,5,13,19
50,28,prior,3,0,16,2
50,28,prior,4,3,16,17
50,28,prior,5,2,15,27
50,28,prior,6,2,12,14
50,28,prior,7,1,17,6
50,28,prior,8,0,16,13
51,28,prior,9,1,15,30
51,28,prior,10,0,17,6
51,28,prior,11,0,7,30
51,28,prior,12,1,19,1
51,28,prior,13,5,17,11
51,28,prior,14,2,13,18
51,28,prior,15,3,17,15
51,28,prior,16,4,12,1
51,28,prior,17,5,13,1
52,28,prior,18,0,17,9
52,28,prior,19,5,16,12
52,28,prior,20,1,13,10
52,28,prior,21,2,17,1
52,28,prior,22,2,15,7
53,28,prior,23,1,14,6
53,28,prior,24,0,15,13
53,28,test,25,1,16,8
53,29,prior,1,5,11,
53,29,prior,2,2,8,11
53,29,prior,3,2,10,14
53,29,prior,4,6,8,11
53,29,prior,5,1,11,9
53,29,prior,6,5,11,11
53,29,prior,7,1,12,10
53,29,prior,8,4,13,10
53,29,prior,9,6,13,9
53,29,prior,10,5,11,13
53,29,prior,11,5,9,7
53,29,prior,12,4,8,13
54,29,prior,13,5,8,8
54,29,prior,14,1,13,17
54,29,prior,15,3,11,16
54,29,prior,16,1,11,12
54,29,prior,17,5,13,11
54,29,prior,18,5,11,14
54,29,train,19,4,11,13
55,30,prior,1,1,13,
55,30,prior,2,1,10,7
55,30,prior,3,1,22,7
55,30,prior,4,2,13,22
55,30,prior,5,2,11,30
55,30,prior,6,1,19,27
55,30,prior,7,1,6,28
55,30,prior,8,1,8,30
55,30,train,9,2,13,22
55,31,prior,1,5,11,
55,31,prior,2,5,11,0
55,31,prior,3,4,12,6
55,31,prior,4,3,13,6
55,31,prior,5,0,16,4
55,31,prior,6,0,16,7
55,31,prior,7,2,13,2
55,31,prior,8,0,11,5
55,31,prior,9,3,12,3
55,31,prior,10,3,8,7
55,31,prior,11,1,7,5
55,31,prior,12,4,12,10
55,31,prior,13,3,11,6
56,31,prior,14,2,9,6
56,31,prior,15,1,8,6
56,31,prior,16,2,8,8
56,31,prior,17,3,11,8
56,31,prior,18,3,11,0
56,31,prior,19,0,17,4
56,31,prior,20,0,17,0
56,31,test,21,4,9,18
56,32,prior,1,3,12,
56,32,prior,2,3,12,30
57,32,prior,3,2,10,20
57,32,prior,4,3,9,1
57,32,prior,5,1,23,30
57,32,test,6,1,13,30
57,33,prior,1,3,14,
57,33,prior,2,2,16,27
57,33,prior,3,1,19,30
58,33,test,4,6,17,19
58,34,prior,1,4,15,
58,34,prior,2,4,7,28
58,34,prior,3,4,14,21
58,34,prior,4,0,11,10
58,34,prior,5,0,15,21
59,34,train,6,4,13,30
59,35,prior,1,5,21,
59,35,prior,2,3,16,26
60,35,prior,3,6,9,30
60,35,prior,4,0,20,22
60,35,prior,5,5,16,30
60,35,prior,6,6,10,1
60,35,prior,7,3,18,4
60,35,prior,8,4,17,30
60,35,prior,9,4,16,28
60,35,test,10,4,15,21
60,36,prior,1,4,17,
60,36,prior,2,5,18,8
60,36,prior,3,5,17,21
60,36,prior,4,1,11,10
60,36,prior,5,4,15,3
60,36,prior,6,5,15,15
60,36,prior,7,6,14,15
60,36,prior,8,3,17,4
60,36,prior,9,0,11,4
60,36,prior,10,1,18,1
60,36,prior,11,5,19,4
61,36,prior,12,0,16,9
61,36,prior,13,6,15,20
61,36,prior,14,0,12,22
61,36,prior,15,5,17,12
61,36,prior,16,3,21,5
61,36,prior,17,0,15,11
61,36,prior,18,4,17,18
61,36,prior,19,0,8,3
61,36,prior,20,4,9,25
61,36,prior,21,0,9,3
61,36,prior,22,3,12,3
61,36,prior,23,4,17,22
62,36,prior,24,2,7,5
62,36,prior,25,4,10,9
62,36,prior,26,3,18,6
62,36,prior,27,5,21,16
62,36,prior,28,0,11,16
62,36,prior,29,3,21,3
62,36,prior,30,3,21,0
63,36,prior,31,6,12,10
63,36,prior,32,0,9,8
63,36,prior,33,3,19,3
63,36,prior,34,6,11,10
63,36,prior,35,0,16,15
63,36,prior,36,4,12,4
63,36,prior,37,4,12,7
63,36,test,38,0,8,3
63,37,prior,1,2,10,
63,37,prior,2,6,12,4
64,37,prior,3,0,1,8
64,37,prior,4,1,14,8
64,37,prior,5,2,14,8
64,37,prior,6,5,17,10
64,37,prior,7,1,19,10
65,37,prior,8,3,19,23
65,37,prior,9,6,14,17
65,37,prior,10,3,18,11
66,37,prior,11,4,11,8
66,37,prior,12,6,22,30
66,37,prior,13,6,19,14
66,37,prior,14,5,14,20
66,37,prior,15,0,16,30
66,37,prior,16,5,17,5
67,37,prior,17,4,14,6
67,37,prior,18,5,17,15
67,37,prior,19,1,16,10
67,37,prior,20,3,16,9
67,37,prior,21,2,13,13
67,37,prior,22,6,15,30
67,37,prior,23,5,16,6
67,37,train,24,0,13,16
68,38,prior,1,0,10,
68,38,prior,2,4,11,30
68,38,prior,3,0,11,17
68,38,prior,4,6,12,20
68,38,prior,5,0,14,22
68,38,prior,6,6,9,13
68,38,prior,7,6,10,28
68,38,prior,8,6,18,28
68,38,prior,9,6,16,7
69,38,prior,10,5,8,27
69,38,prior,11,0,0,9
69,38,prior,12,1,13,30
69,38,train,13,0,9,30
69,39,prior,1,0,12,
69,39,prior,2,0,15,7
69,39,prior,3,6,17,6
69,39,prior,4,6,10,7
69,39,prior,5,6,19,7
69,39,prior,6,0,12,15
69,39,prior,7,6,16,30
70,39,test,8,6,13,7
70,40,prior,1,0,9,
70,40,prior,2,1,10,8
70,40,prior,3,6,11,12
71,40,prior,4,0,12,8
71,40,prior,5,6,9,20
71,40,prior,6,0,9,15
71,40,prior,7,0,8,21
71,40,prior,8,0,10,7
71,40,prior,9,0,9,14
71,40,test,10,0,8,7
71,41,prior,1,6,16,
71,41,prior,2,2,20,24
71,41,prior,3,0,13,30
72,41,prior,4,1,12,22
72,41,prior,5,0,19,27
72,41,train,6,0,20,30
72,,,,,,
